,symbol,rate,time
432,BTCUSDT,0.00007023,2020-05-24 00:00:00
433,BTCUSDT,0.00010000,2020-05-24 08:00:00
434,BTCUSDT,0.00007917,2020-05-24 16:00:00
435,BTCUSDT,0.00006724,2020-05-25 00:00:00
436,BTCUSDT,0.00006784,2020-05-25 08:00:00
437,BTCUSDT,-0.00004286,2020-05-25 16:00:00
438,BTCUSDT,-0.00004226,2020-05-26 00:00:00
439,BTCUSDT,-0.00000035,2020-05-26 08:00:00
440,BTCUSDT,0.00010000,2020-05-26 16:00:00
441,BTCUSDT,0.00004599,2020-05-27 00:00:00
442,BTCUSDT,0.00002104,2020-05-27 08:00:00
443,BTCUSDT,0.00010000,2020-05-27 16:00:00
444,BTCUSDT,-0.00014025,2020-05-28 00:00:00
445,BTCUSDT,-0.00011366,2020-05-28 08:00:00
446,BTCUSDT,-0.00006862,2020-05-28 16:00:00
447,BTCUSDT,-0.00001187,2020-05-29 00:00:00
448,BTCUSDT,0.00002618,2020-05-29 08:00:00
449,BTCUSDT,0.00001877,2020-05-29 16:00:00
450,BTCUSDT,-0.00000604,2020-05-30 00:00:00
451,BTCUSDT,0.00010000,2020-05-30 08:00:00
452,BTCUSDT,0.00010000,2020-05-30 16:00:00
453,BTCUSDT,0.00010000,2020-05-31 00:00:00
454,BTCUSDT,0.00010000,2020-05-31 08:00:00
455,BTCUSDT,0.00010000,2020-05-31 16:00:00
456,BTCUSDT,0.00010000,2020-06-01 00:00:00
457,BTCUSDT,0.00010000,2020-06-01 08:00:00
458,BTCUSDT,-0.00002911,2020-06-01 16:00:00
459,BTCUSDT,0.00000938,2020-06-02 00:00:00
460,BTCUSDT,0.00034480,2020-06-02 08:00:00
461,BTCUSDT,0.00078310,2020-06-02 16:00:00
462,BTCUSDT,0.00010000,2020-06-03 00:00:00
463,BTCUSDT,0.00010000,2020-06-03 08:00:00
464,BTCUSDT,0.00008646,2020-06-03 16:00:00
465,BTCUSDT,0.00010000,2020-06-04 00:00:00
466,BTCUSDT,0.00010000,2020-06-04 08:00:00
467,BTCUSDT,0.00010000,2020-06-04 16:00:00
468,BTCUSDT,0.00010000,2020-06-05 00:00:00
469,BTCUSDT,0.00010000,2020-06-05 08:00:00
470,BTCUSDT,0.00010000,2020-06-05 16:00:00
471,BTCUSDT,0.00010000,2020-06-06 00:00:00
472,BTCUSDT,0.00010000,2020-06-06 08:00:00
473,BTCUSDT,0.00010000,2020-06-06 16:00:00
474,BTCUSDT,0.00010000,2020-06-07 00:00:00
475,BTCUSDT,0.00010000,2020-06-07 08:00:00
